,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(222, 0), (223, 0), (224, 0), (225, 0)]",222,4,a,"[222, 223, 224, 225]"," zanguei. Contei [a] [a]nedota [a]os [a]migos da cidade,",169
1,"[(1524, 0), (1524, 4), (1529, 0), (1529, 4), (1534, 1), (1535, 0), (1535, 4)]",1524,7,dZi,"[1524, 1524, 1529, 1529, 1534, 1535, 1535]"," pode haver uma [di]ficulda[de].
- Que [di]ficulda[de]?
- Uma gran[de] [di]ficulda[de].
 Minha",1190
2,"[(4369, 1), (4370, 0), (4371, 0), (4372, 2)]",4369,4,du,"[4369, 4370, 4371, 4372]"," dela, ao la[do] [do] [do] mari[do], tais quais",3351
3,"[(6204, 0), (6206, 0), (6207, 0), (6208, 3)]",6204,4,a,"[6204, 6206, 6207, 6208]"," Eu, leitor [a]migo, [a]ceito [a] teori[a] do meu velho",4789
4,"[(7498, 0), (7500, 0), (7502, 0), (7504, 3)]",7498,4,a,"[7498, 7500, 7502, 7504]"," ela não eram [as]sim, [a]penas reproduziam [a] nossa famili[a]ridade, e muita",5801
5,"[(9807, 0), (9808, 0), (9808, 2), (9811, 0), (9811, 2)]",9807,5,a,"[9807, 9808, 9808, 9811, 9811]"," e tamanho. [a] [á]re[a] que
 [ha]vi[a] no centro da",7560
6,"[(10020, 1), (10023, 0), (10024, 1), (10026, 0)]",10020,4,a,"[10020, 10023, 10024, 10026]",", forte, chei[a], como [a] ti[a], [a] mesma cabeça,",7725
7,"[(10098, 1), (10100, 0), (10102, 0), (10104, 0)]",10098,4,a,"[10098, 10100, 10102, 10104]", valeu; um di[a] chegou [a] salvar [a] vida [a]o Pádua. Escutai,7788
8,"[(11463, 2), (11464, 0), (11465, 0), (11465, 2)]",11463,4,a,"[11463, 11464, 11465, 11465]", despeito que lhe trazi[a] [a] [a]me[a]ça da separação;,8819
9,"[(11897, 0), (11900, 0), (11902, 0), (11904, 0)]",11897,4,a,"[11897, 11900, 11902, 11904]",", não me [a]cho ridículo; [a]
 [a]dolescência e [a] infância não são",9135
10,"[(13753, 0), (13754, 2), (13756, 0), (13756, 3)]",13753,4,a,"[13753, 13754, 13756, 13756]"," berço e não [a] senti[a]
 [a]tenu[a]da pela vida!",10551
11,"[(15074, 0), (15078, 0), (15082, 0), (15086, 0)]",15074,4,mi,"[15074, 15078, 15082, 15086]"," pareciam apalpar- [me], ouvir- [me], cheirar- [me], gostar- [me], fazer o",11556
12,"[(18017, 2), (18019, 2), (18022, 0), (18023, 2)]",18017,4,a,"[18017, 18019, 18022, 18023]"," meu lugar, trazi[a] uma idéi[a] fantástica, [a] idéi[a] de ir ter",13770
13,"[(18484, 0), (18487, 0), (18489, 0), (18492, 0)]",18484,4,a,"[18484, 18487, 18489, 18492]"," um gesto de [a]deus, dizendo [a]inda: [a] medicina, [a] nossa Escola.",14117
14,"[(18712, 0), (18713, 2), (18715, 1), (18717, 0)]",18712,4,a,"[18712, 18713, 18715, 18717]", das passagens puxou [a] correi[a] que i[a] ter [a]o braço do cocheiro,14295
15,"[(19825, 3), (19826, 0), (19828, 3), (19831, 0)]",19825,4,a,"[19825, 19826, 19828, 19831]",", como já conheci[a] [a]
 distanci[a], e [a]gora voltávamos para a",15154
16,"[(19990, 0), (19992, 0), (19993, 0), (19993, 2)]",19990,4,a,"[19990, 19992, 19993, 19993]", vez de ficar [a]batida com [a] [a]me[a]ça da larga separação,15285
