,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(0, 0), (0, 4), (2, 0)]",0,3,ma,"[0, 0, 2]"," [ma]cunaí[ma]
 [má]rio DE ANDRADE
",1
1,"[(223, 0), (224, 0), (225, 0)]",223,3,a,"[223, 224, 225]", diz- que [ha]bitando [a] [á]gua- doce por,174
2,"[(272, 0), (273, 0), (275, 2), (276, 0)]",272,4,a,"[272, 273, 275, 276]"," e freqüentava com [a]plicação [a]
 muru[a] [a] poracê o torê",213
3,"[(805, 1), (807, 0), (807, 4)]",805,3,ma,"[805, 807, 807]", o bicho na ar[ma]dilha. [ma]cunaí[ma] pediu um pedaço,655
4,"[(1120, 1), (1121, 0), (1122, 0), (1122, 2)]",1120,4,a,"[1120, 1121, 1122, 1122]","
 No outro di[a] [a] [ar]rai[a]da inda estava acabando",905
5,"[(1480, 1), (1480, 3), (1482, 2)]",1480,3,ra,"[1480, 1480, 1482]"," alto da
 pi[ra]nhei[ra]. sofa[rá] trepava atrás.",1196
6,"[(2411, 0), (2414, 0), (2414, 4)]",2411,3,ma,"[2411, 2414, 2414]","
 três pra [ma]loca.
 [ma]cunaí[ma] estava muito contrariado",1948
7,"[(3531, 4), (3532, 2), (3534, 4)]",3531,3,du,"[3531, 3532, 3534]"," corpo. Foi desempenan[do] crescen[do]
 fortifican[do] e ficou do",2782
8,"[(4167, 0), (4169, 0), (4170, 0)]",4167,3,e,"[4167, 4169, 4170]"," que gravou o [e]pitáfio. [e] [e]ra assim:
",3302
9,"[(4372, 1), (4374, 1), (4374, 3)]",4372,3,ma,"[4372, 4374, 4374]"," sentada nas raízes du[ma]
 sa[ma]ú[ma] e avançaram cautelosos",3468
10,"[(5898, 1), (5899, 3), (5901, 2)]",5898,3,da,"[5898, 5899, 5901]"," companheira de Macunaíma to[da] enfeita[da]
 ain[da], tirou do",4688
11,"[(5942, 1), (5943, 3), (5944, 2), (5946, 1), (5947, 3)]",5942,5,da,"[5942, 5943, 5944, 5946, 5947]"," das formigas, to[da] enfeita[da] ain[da], to[da] enfeita[da] de
 luz",4721
12,"[(6307, 0), (6308, 0), (6311, 0)]",6307,3,a,"[6307, 6308, 6311]"," do sono em [a]calantos [as]sim:
 [a]cutipuru,
 Empresta",5005
13,"[(6390, 0), (6391, 0), (6391, 2), (6392, 3)]",6390,4,a,"[6390, 6391, 6391, 6392]"," feita em que [a] [ar]rai[a]da principi[a]va
 enxotando a",5066
14,"[(6826, 0), (6827, 0), (6828, 0), (6829, 0)]",6826,4,vi~,"[6826, 6827, 6828, 6829]"," busca nossa. [vi]nha [vin]do [vi]nha [vin]do, a
",5428
15,"[(7059, 0), (7063, 0), (7067, 0)]",7059,3,si,"[7059, 7063, 7067]",".
— [si]... [si]... [si] a boiúna aparecesse",5612
16,"[(7305, 1), (7306, 0), (7308, 1)]",7305,3,dZi,"[7305, 7306, 7308]"," e quando não po[di]am [de]
 fa[di]ga treparam num bacuparizeiro",5807
17,"[(7504, 0), (7505, 0), (7505, 2)]",7504,3,a,"[7504, 7505, 7505]", respiro. Logo [a]diante [ha]vi[a] um rancho teatino,5956
18,"[(7568, 0), (7572, 0), (7573, 0)]",7568,3,a,"[7568, 7572, 7573]","
— Que [há]?
— [a]bra [a] porta pra mim",6006
19,"[(8622, 1), (8623, 1), (8624, 0)]",8622,3,e,"[8622, 8623, 8624]"," tal
 Venceslau pi[e]tro pi[e]tra [e] retomar o tembetá",6839
20,"[(8886, 0), (8887, 0), (8888, 0)]",8886,3,es,"[8886, 8887, 8888]"," herdados da icamiaba [es]trela [es]tavam [es]condidas nas grunhas
",7052
21,"[(8934, 0), (8934, 3), (8935, 0)]",8934,3,a,"[8934, 8934, 8935]", lindo trepando pelo [a]raguai[a] [a]quele poder de igaras,7092
22,"[(9027, 1), (9028, 1), (9029, 1)]",9027,3,ra,"[9027, 9028, 9029]"," onde os camuatás pi[ra]pitingas dou[ra]dos pi[ra]canjubas
 uarus-",7168
23,"[(9514, 0), (9515, 2), (9516, 0)]",9514,3,u,"[9514, 9515, 9516]", cheiro o guariba [o] bugi[o] [o] cuatá o barrigudo,7569
24,"[(9520, 0), (9521, 2), (9522, 0)]",9520,3,u,"[9520, 9521, 9522]"," cuatá o barrigudo [o] coxi[ú] [o]
 cairara,",7575
25,"[(9587, 2), (9589, 3), (9590, 3)]",9587,3,du,"[9587, 9589, 9590]"," de acabar o trina[do], vozean[do] vozean[do] com eloqüência.",7629
