,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(43, 0), (44, 0), (44, 2), (47, 0), (48, 1)]",43,5,a,"[43, 44, 44, 47, 48]",", perdeu toda [a] [a]tu[a]lidade, remorada [a] su[a]
 publicação em",34
1,"[(506, 0), (507, 1), (510, 0), (511, 1)]",506,4,ni,"[506, 507, 510, 511]"," n altèrent
 [ni] u[ne] date, [ni] u[ne] généalogie, mais",397
2,"[(644, 0), (645, 1), (649, 1), (655, 4)]",644,4,a,"[644, 645, 649, 655]",". Hipóteses sobre [a] su[a] gênese. As ca[a]tingas.
 V. Uma categori[a] geográfica que Hegel",493
3,"[(1215, 4), (1218, 0), (1222, 0), (1223, 1)]",1215,4,a,"[1215, 1218, 1222, 1223]"," deste país região privilegi[a]da, onde [a]
 natureza armou [a] su[a] mais portentosa oficina",942
4,"[(1244, 0), (1248, 0), (1250, 0), (1250, 3), (1251, 0)]",1244,5,a,"[1244, 1248, 1250, 1250, 1251]"," topográfico e geológico [a] nenhuma
 se [a]figura tão [a]feiço[a]da [à] Vida.
",964
5,"[(2008, 0), (2009, 0), (2009, 3), (2010, 0)]",2008,4,a,"[2008, 2009, 2009, 2010]"," de nível, [a]penas [a]ponto[a]do [a]
 leste pelos",1566
6,"[(2237, 0), (2238, 0), (2241, 0), (2242, 0)]",2237,4,a,"[2237, 2238, 2241, 2242]"," predominantes e oferecendo [a]os [a]gentes meteóricos plasticidade [ad]mirável [a]os mais caprichosos
",1742
7,"[(2473, 0), (2475, 3), (2476, 0), (2480, 3)]",2473,4,da,"[2473, 2475, 2476, 2480]"," desconformes, restos [da] monstruosa abóba[da] [da] antiga cordilheira, desaba[da]...",1925
8,"[(2607, 0), (2608, 0), (2610, 0), (2612, 0), (2612, 3), (2614, 0), (2617, 0), (2621, 0)]",2607,8,a,"[2607, 2608, 2610, 2612, 2612, 2614, 2617, 2621]","- se progredir [a]té [a]o plateau [a]renoso do [a]çuru[á], [as]sociando- se [a]o calcário
 que [a]viva as paisagens na",2021
9,"[(2709, 0), (2711, 1), (2714, 2), (2718, 0)]",2709,4,a,"[2709, 2711, 2714, 2718]","

 Reponta [a] região di[a]mantina, na bahi[a], revivendo inteiramente [a] de Minas,",2095
