,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(222, 0), (223, 0), (224, 0), (225, 0)]",222,4,a,"[222, 223, 224, 225]"," zanguei. Contei [a] [a]nedota [a]os [a]migos da cidade,",169
1,"[(437, 0), (440, 1), (442, 0), (446, 0)]",437,4,a,"[437, 440, 442, 446]"," poderá cuidar que [a] obra é su[a]. [há]
 livros que [a]penas terão isso dos",336
2,"[(1289, 0), (1292, 2), (1295, 0), (1296, 0), (1299, 0)]",1289,5,a,"[1289, 1292, 1295, 1296, 1299]","
 Fiquei tão [a]legre com esta idéi[a], que [a]inda [a]gora me treme [a] pena na mão",1004
3,"[(1435, 0), (1439, 0), (1443, 0), (1445, 1)]",1435,4,a,"[1435, 1439, 1443, 1445]"," escondi- me [a]trás da porta. [a] casa
 era [a] da ru[a] de Mata-",1117
4,"[(1521, 1), (1524, 0), (1524, 4), (1529, 0), (1529, 4), (1534, 1), (1535, 0), (1535, 4)]",1521,8,dZi,"[1521, 1524, 1524, 1529, 1529, 1534, 1535, 1535]"," e já agora po[de] haver uma [di]ficulda[de].
- Que [di]ficulda[de]?
- Uma gran[de] [di]ficulda[de].
 Minha",1187
5,"[(3317, 0), (3319, 2), (3322, 0), (3326, 2), (3329, 0)]",3317,5,a,"[3317, 3319, 3322, 3326, 3329]"," lá; tinha [a]migos em lisbo[a], mas [a] nossa família, dizi[a] ele, [a]baixo de Deus,",2531
6,"[(4369, 1), (4370, 0), (4371, 0), (4372, 2)]",4369,4,du,"[4369, 4370, 4371, 4372]"," dela, ao la[do] [do] [do] mari[do], tais quais",3351
7,"[(4761, 0), (4764, 1), (4765, 0), (4769, 1)]",4761,4,dZi,"[4761, 4764, 4765, 4769]"," Mas é tempo [de] tornar àquela tar[de] [de] novembro, uma tar[de] clara e fresca",3669
8,"[(4962, 2), (4963, 0), (4966, 0), (4970, 2), (4971, 0)]",4962,5,a,"[4962, 4963, 4966, 4970, 4971]",", e ele saí[a] [a] bradar contra [a] iniqüidade.
 trazi[a] [a]inda os bigodes dos",3831
9,"[(5384, 0), (5386, 0), (5391, 0), (5394, 0), (5399, 0)]",5384,5,a,"[5384, 5386, 5391, 5394, 5399]","- lhe. [a]qui tendes [a] partitura, escutai- [a] emendai- [a],
 fazei- [a] executar, e",4158
10,"[(5432, 1), (5444, 1), (5446, 1), (5451, 2)]",5432,4,da,"[5432, 5444, 5446, 5451]"," não quero ouvir na[da].
- Mas, Senhor...
- na[da]! na[da]!
 Satanás suplicou ain[da], sem melhor",4190
11,"[(6162, 0), (6163, 0), (6164, 3), (6168, 3)]",6162,4,a,"[6162, 6163, 6164, 6168]","
 CAPÍTULO X [a]ceito [a] teori[a]
 Que é demasi[a]da metafísica para um",4757
12,"[(6204, 0), (6206, 0), (6207, 0), (6208, 3)]",6204,4,a,"[6204, 6206, 6207, 6208]"," Eu, leitor [a]migo, [a]ceito [a] teori[a] do meu velho",4789
13,"[(7498, 0), (7500, 0), (7502, 0), (7504, 3)]",7498,4,a,"[7498, 7500, 7502, 7504]"," ela não eram [as]sim, [a]penas reproduziam [a] nossa famili[a]ridade, e muita",5801
14,"[(8091, 2), (8095, 1), (8098, 1), (8100, 0)]",8091,4,du,"[8091, 8095, 8098, 8100]",", fazíamos visita baten[do] de um
 la[do], e sen[do] recebidos [do] outro cor,",6265
15,"[(9724, 0), (9728, 1), (9729, 0), (9732, 0)]",9724,4,a,"[9724, 9728, 9729, 9732]"," gaturamo? Está [a]li no fundo. i[a] [a]gora mesmo buscar [a]
 gaiola;",7495
16,"[(9807, 0), (9808, 0), (9808, 2), (9811, 0), (9811, 2)]",9807,5,a,"[9807, 9808, 9808, 9811, 9811]"," e tamanho. [a] [á]re[a] que
 [ha]vi[a] no centro da",7560
17,"[(10020, 1), (10023, 0), (10024, 1), (10026, 0)]",10020,4,a,"[10020, 10023, 10024, 10026]",", forte, chei[a], como [a] ti[a], [a] mesma cabeça,",7725
18,"[(10098, 1), (10100, 0), (10102, 0), (10104, 0), (10109, 0), (10110, 0)]",10098,6,a,"[10098, 10100, 10102, 10104, 10109, 10110]", valeu; um di[a] chegou [a] salvar [a] vida [a]o Pádua. Escutai; [a] [a]nedota é curta.,7788
19,"[(10688, 1), (10690, 0), (10694, 0), (10697, 0), (10698, 0), (10698, 3)]",10688,6,a,"[10688, 10690, 10694, 10697, 10698, 10698]"," dar notícias da ru[a]. [a] serenidade regressou; [a]trás dela veio [a] [a]legri[a], um domingo",8233
20,"[(11463, 2), (11464, 0), (11465, 0), (11465, 2)]",11463,4,a,"[11463, 11464, 11465, 11465]", despeito que lhe trazi[a] [a] [a]me[a]ça da separação;,8819
21,"[(11595, 0), (11602, 0), (11605, 2), (11610, 3), (11614, 3)]",11595,5,a,"[11595, 11602, 11605, 11610, 11614]"," dentes, abanava [a] cabeça... Eu, [as]sustado, não sabi[a] que
 fizesse, repeti[a] os juramentos, prometi[a] ir naquela mesma",8924
22,"[(11897, 0), (11900, 0), (11902, 0), (11904, 0)]",11897,4,a,"[11897, 11900, 11902, 11904]",", não me [a]cho ridículo; [a]
 [a]dolescência e [a] infância não são",9135
23,"[(12959, 0), (12963, 1), (12967, 1), (12968, 0)]",12959,4,dZi,"[12959, 12963, 12967, 12968]"," façam que lhe [di]go. Dona Glória po[de] ser
 que mu[de] [de] resolução; se",9935
24,"[(13753, 0), (13754, 2), (13756, 0), (13756, 3)]",13753,4,a,"[13753, 13754, 13756, 13756]"," berço e não [a] senti[a]
 [a]tenu[a]da pela vida!",10551
25,"[(15074, 0), (15078, 0), (15082, 0), (15086, 0)]",15074,4,mi,"[15074, 15078, 15082, 15086]"," pareciam apalpar- [me], ouvir- [me], cheirar- [me], gostar- [me], fazer o",11556
26,"[(15768, 0), (15772, 0), (15774, 0), (15776, 0)]",15768,4,e,"[15768, 15772, 15774, 15776]"," valor deste outro [e]logio, gostava do [e]logio; [e]ra um [e]logio.
 CAPÍTULO",12087
