,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(23, 1), (23, 3), (25, 1)]",23,3,tSi,"[23, 23, 25]"," de uma carreira fa[ti]gan[te], es[te] livro, que",18
1,"[(43, 0), (44, 0), (44, 2)]",43,3,a,"[43, 44, 44]",", perdeu toda [a] [a]tu[a]lidade, remorada a",34
2,"[(917, 0), (918, 0), (918, 3)]",917,3,a,"[917, 918, 918]"," 15 paralelo, [a] [a]tenu[a]ção de
 todos",703
3,"[(1028, 0), (1030, 0), (1031, 2)]",1028,3,a,"[1028, 1030, 1031]"," meridiano qualquer, [a]companhando
 [à] baci[a] do S.",793
4,"[(1250, 0), (1250, 3), (1251, 0)]",1250,3,a,"[1250, 1250, 1251]"," se afigura tão [a]feiço[a]da [à] Vida.
",969
5,"[(2008, 0), (2009, 0), (2009, 3), (2010, 0)]",2008,4,a,"[2008, 2009, 2009, 2010]"," de nível, [a]penas [a]ponto[a]do [a]
 leste pelos",1566
6,"[(2612, 0), (2612, 3), (2614, 0)]",2612,3,a,"[2612, 2612, 2614]"," plateau arenoso do [a]çuru[á], [as]sociando- se ao",2026
7,"[(2877, 0), (2878, 1), (2879, 0)]",2877,3,a,"[2877, 2878, 2879]",", que
 [a]li re[a]gem [há] milênios entre montanhas",2221
8,"[(3088, 0), (3089, 0), (3090, 0)]",3088,3,a,"[3088, 3089, 3090]"," das montanhas, [a]o [a]tingir [a]quele
 ponto estaca",2388
9,"[(3294, 0), (3294, 4), (3295, 0)]",3294,3,a,"[3294, 3294, 3295]"," que
 quase [a]barcari[a] [a] Holanda( 9º",2546
10,"[(3431, 0), (3432, 0), (3433, 0)]",3431,3,a,"[3431, 3432, 3433]","
 povoados que [a] [a]beiram [a]companhando insignificantes cursos de",2646
11,"[(3998, 2), (3998, 3), (3999, 0), (4000, 1)]",3998,4,da,"[3998, 3998, 3999, 4000]"," torneando a truncadura malgra[da][da] [da] bor[da]
 de um",3088
12,"[(4079, 2), (4080, 0), (4081, 1)]",4079,3,a,"[4079, 4080, 4081]"," léguas, da bahi[a] [a]o ju[a]zeiro, se entroncam",3148
13,"[(4261, 0), (4262, 0), (4263, 0)]",4261,3,a,"[4261, 4262, 4263]"," entanto quem se [a]balança [a] [a]travessá- lo,",3285
14,"[(4285, 1), (4286, 2), (4287, 2)]",4285,3,ta,"[4285, 4286, 4287]"," meandros, o i[ta]picuru alen[ta] vege[ta]ção vivaz; e",3303
15,"[(6749, 0), (6750, 1), (6752, 2)]",6749,3,du,"[6749, 6750, 6752]"," mais antigo
 [do] mun[do]— segun[do] a dedução dedução",5180
16,"[(6840, 4), (6842, 0), (6844, 0)]",6840,3,a,"[6840, 6842, 6844]"," a Bolívia. simultane[a]mente, [a]o
 [a]brir- se a",5251
17,"[(7141, 0), (7143, 0), (7144, 0)]",7141,3,a,"[7141, 7143, 7144]",": o líquen [a]inda
 [a]taca [a] pedra, fecundando",5475
18,"[(7235, 0), (7236, 0), (7237, 0)]",7235,3,a,"[7235, 7236, 7237]", que nos domina [a]o [a]travessarmos [a]quele ignoto trecho do,5549
19,"[(7445, 0), (7446, 1), (7447, 2)]",7445,3,dZi,"[7445, 7446, 7447]"," do Cambaio, [de] on[de] irra[di]am as pequenas cadeias",5708
20,"[(7621, 0), (7622, 0), (7622, 2)]",7621,3,a,"[7621, 7622, 7622]",", perturbando toda [a] [á]re[a] de drenagem do",5846
21,"[(9810, 0), (9811, 0), (9812, 0)]",9810,3,a,"[9810, 9811, 9812]","
 secura da [a]tmosfera [a]tinge [a] graus anormalíssimos.",7519
22,"[(10354, 0), (10356, 0), (10357, 1)]",10354,3,a,"[10354, 10356, 10357]",", quedou, [a]diante, [à] mei[a] encosta, entalado",7929
23,"[(10358, 0), (10360, 0), (10361, 0)]",10358,3,e~,"[10358, 10360, 10361]",", à meia [en]costa, [en]talado [en]tre fraguedos. Ficou",7932
24,"[(11512, 0), (11514, 0), (11515, 3), (11516, 2)]",11512,4,a,"[11512, 11514, 11515, 11516]"," à sua forma [a]traentíssima, [a] teori[a] plane[a]da: raramente
",8790
25,"[(11596, 0), (11597, 0), (11599, 0)]",11596,3,e,"[11596, 11597, 11599]",", mais próximas [e] [e]nérgicas, [e] estas, em",8854
26,"[(11620, 3), (11620, 6), (11621, 3)]",11620,3,tSi,"[11620, 11620, 11621]"," só serão
 defini[ti]vamen[te] sistema[ti]zadas quando extensa série",8871
27,"[(11732, 0), (11733, 0), (11734, 0)]",11732,3,a,"[11732, 11733, 11734]"," em vasta superfície [a]largada [a]té [a]o
 Mato Grosso",8962
28,"[(12463, 0), (12465, 1), (12467, 0)]",12463,3,si,"[12463, 12465, 12467]"," vez condensando- [se], pre[ci]pitarem- [se] de novo e",9539
29,"[(12577, 0), (12578, 0), (12580, 0)]",12577,3,a,"[12577, 12578, 12580]","
 barrentos traçados [a]o [a]caso, [à] feição dos declives",9625
30,"[(12698, 1), (12699, 0), (12700, 1), (12702, 0), (12703, 0)]",12698,5,a,"[12698, 12699, 12700, 12702, 12703]"," e vão, di[a] [a] di[a], [a]bsorvendo [a] umidade exígua da",9714
31,"[(12770, 0), (12772, 0), (12772, 3)]",12770,3,a,"[12770, 12772, 12772]", a caatinga o [a]foga; [a]brevi[a]- lhe o,9770
32,"[(13363, 0), (13365, 0), (13366, 0)]",13363,3,a,"[13363, 13365, 13366]"," molas de
 [a]ço, [ad]miráveis [a]parelhos para propagação das",10227
33,"[(13366, 1), (13367, 0), (13368, 1)]",13366,3,pa,"[13366, 13367, 13368]"," aço, admiráveis a[pa]relhos [pa]ra pro[pa]gação das sementes,",10229
34,"[(13681, 0), (13682, 0), (13684, 2)]",13681,3,dZi,"[13681, 13682, 13684]",- se em [di]visões [di]cotômicas. progri[de] pela terra dentro,10466
35,"[(15971, 0), (15972, 0), (15973, 1), (15975, 3), (15976, 3)]",15971,5,a,"[15971, 15972, 15973, 15975, 15976]"," o convizinham
 [a]té [a]o ce[a]rá, estari[a] despovo[a]do. O umbu",12185
36,"[(16519, 0), (16520, 1), (16521, 0)]",16519,3,a,"[16519, 16520, 16521]", nas tocaias traiçoeiras [a]os ve[a]dos [a]riscos ou novilhos desgarrados,12604
37,"[(17393, 0), (17394, 0), (17395, 3)]",17393,3,a,"[17393, 17394, 17395]"," dias torturantes; [a] [a]tmosfera asfixi[a]dora; o
",13256
38,"[(17614, 0), (17615, 3), (17615, 5)]",17614,3,a,"[17614, 17615, 17615]", gênese daquele na [a]ção tumultu[a]ri[a] de um cataclismo,13433
39,"[(18408, 0), (18409, 0), (18409, 2)]",18408,3,a,"[18408, 18409, 18409]"," das caiçaras, [a] [á]re[a] em cinzas onde",14044
40,"[(18461, 3), (18462, 0), (18463, 5)]",18461,3,a,"[18461, 18462, 18463]","— como o denunci[a] [a] etimologi[a] tupi, jazendo",14081
